,City,State,Address,lon,lat,Region,Team
1,Alamosa,CO,"Alamosa, CO",-105.8700214,37.4694491,West,Adams State
2,Garden City,NY,"Garden City, NY",-73.6342954,40.7267682,MidAtlantic,Adelphi
3,USAF Academy,CO,"USAF Academy, CO",-104.8617533,38.9983573,West,Air Force
4,Akron,OH,"Akron, OH",-81.5190053,41.0814447,MidWest,Akron
5,Tuscaloosa,AL,"Tuscaloosa, AL",-87.5691735,33.2098407,South,Alabama
6,Fairbanks,AK,"Fairbanks, AK",-147.7163888,64.8377778,Alaska,Alaska Fairbanks
7,Albion,MI,"Albion, MI",-84.7530304,42.243097,MidWest,Albion
8,Reading,PA,"Reading, PA",-75.9268747,40.3356483,MidAtlantic,Albright
9,Alfred,NY,"Alfred, NY",-77.7905509,42.2542366,MidAtlantic,Alfred
10,Alfred,NY,"Alfred, NY",-77.7905509,42.2542366,MidAtlantic,Alfred State
11,Meadville,PA,"Meadville, PA",-80.1514484,41.6414438,MidAtlantic,Allegheny
12,Alma,MI,"Alma, MI",-84.6597274,43.3789199,MidWest,Alma
13,Washington,DC,"Washington, DC",-77.0368707,38.9071923,MidAtlantic,American
14,Amherst,MA,"Amherst, MA",-72.5198537,42.3732216,NewEngland,Amherst
15,Anderson,IN,"Anderson, IN",-85.6802541,40.1053196,MidWest,Anderson
16,Glenside,PA,"Glenside, PA",-75.1527928,40.0999077,MidAtlantic,Arcadia
17,Tucson,AZ,"Tucson, AZ",-110.9747108,32.2226066,SouthWest,Arizona
18,Tempe,AZ,"Tempe, AZ",-111.9400054,33.4255104,SouthWest,Arizona State
19,Fayetteville,AR,"Fayetteville, AR",-94.1718542,36.082156,South,Arkansas
20,Little Rock,AR,"Little Rock, AR",-92.2895948,34.7464809,South,Arkansas Little Rock
21,West Point,NY,"West Point, NY",-73.9559721,41.3914827,MidAtlantic,Army
22,Ashland,OH,"Ashland, OH",-82.3182178,40.8686675,MidWest,Ashland
23,Worcester,MA,"Worcester, MA",-71.8022934,42.2625932,NewEngland,Assumption
24,Auburn,AL,"Auburn, AL",-85.4807825,32.6098566,South,Auburn
25,Minneapolis,MN,"Minneapolis, MN",-93.2650108,44.977753,MidWest,Augsburg
26,Sioux Falls,SD,"Sioux Falls, SD",-96.728333,43.5473028,West,Augustana
27,Sherman,TX,"Sherman, TX",-96.6088805,33.6356618,SouthWest,Austin
28,Azusa,CA,"Azusa, CA",-117.9075627,34.1336186,Pacific,Azusa Pacific
29,Babson,MA,"Babson, MA",-71.2657077,42.2964421,NewEngland,Babson
30,Berea,OH,"Berea, OH",-81.8543026,41.3661614,MidWest,Baldwin Wallace
31,Muncie,IN,"Muncie, IN",-85.3863599,40.1933767,MidWest,Ball State
32,Annandale on Hudson,NY,"Annandale on Hudson, NY",-73.9095279,42.0218762,MidAtlantic,Bard
33,Wilson,NC,"Wilson, NC",-77.9155395,35.7212689,South,Barton
34,New York,NY,"New York, NY",-74.0059728,40.7127753,MidAtlantic,Baruch
35,Lewiston,ME,"Lewiston, ME",-70.2147764,44.100351,NewEngland,Bates
36,Erie,PA,"Erie, PA",-80.085059,42.1292241,MidAtlantic,Behrend
37,Louisville,KY,"Louisville, KY",-85.7584557,38.2526647,South,Bellarmine
38,Beloit,WI,"Beloit, WI",-89.0317765,42.5083482,MidWest,Beloit
39,Waltham,MA,"Waltham, MA",-71.2356113,42.3764852,NewEngland,Bentley
40,Mount Berry,GA,"Mount Berry, GA",-85.1832843,34.275093,South,Berry
41,Bethany,WV,"Bethany, WV",-80.5567384,40.205627,MidAtlantic,Bethany
42,NA,NA,NA,NA,NA,NA,Biola University
43,Birmingham,AL,"Birmingham, AL",-86.8103567,33.5185892,South,Birmingham Southern
44,Bloomsburg,PA,"Bloomsburg, PA",-76.4549457,41.003698,MidAtlantic,Bloomsburg
45,Boise,ID,"Boise, ID",-116.2023137,43.6150186,West,Boise State
46,Boston,MA,"Boston, MA",-71.0588801,42.3600825,NewEngland,Boston
47,Chestnut Hill,MA,"Chestnut Hill, MA",-71.166187,42.3303798,NewEngland,Boston College
48,Brunswick,ME,"Brunswick, ME",-69.966996,43.9140162,NewEngland,Bowdoin
49,Bowling Green,OH,"Bowling Green, OH",-83.6513229,41.3747744,MidWest,Bowling Green State
50,Waltham,MA,"Waltham, MA",-71.2356113,42.3764852,NewEngland,Brandeis
51,Bridgeport,CT,"Bridgeport, CT",-73.1894384,41.1792258,NewEngland,Bridgeport
52,Bridgewater,VA,"Bridgewater, VA",-78.976696,38.3820706,MidAtlantic,Bridgewater
53,Bridgewater,MA,"Bridgewater, MA",-70.9750541,41.9903519,NewEngland,Bridgewater State
54,Provo,UT,"Provo, UT",-111.6585337,40.2338438,West,Brigham Young
55,Providence,RI,"Providence, RI",-71.4128343,41.8239891,NewEngland,Brown
56,Smithfield,RI,"Smithfield, RI",-71.5495101,41.9220496,NewEngland,Bryant
57,Bryn Mawr,PA,"Bryn Mawr, PA",-75.3151772,40.0230237,MidAtlantic,Bryn Mawr
58,Lewisburg,PA,"Lewisburg, PA",-76.8844101,40.9645293,MidAtlantic,Bucknell
59,Buffalo,NY,"Buffalo, NY",-78.8783689,42.8864468,MidAtlantic,Buffalo
60,Indianapolis,IN,"Indianapolis, IN",-86.158068,39.768403,MidWest,Butler
61,NA,NA,NA,NA,NA,NA,CSUB
62,Radnor,PA,"Radnor, PA",-75.3599105,40.0462208,MidAtlantic,Cabrini
63,NA,NA,NA,NA,NA,NA,Cal Baptist
64,San Luis Obispo,CA,"San Luis Obispo, CA",-120.6596156,35.2827524,Pacific,Cal Poly
65,Hayward,CA,"Hayward, CA",-122.0807964,37.6688205,Pacific,Cal State East Bay
66,Berkeley,CA,"Berkeley, CA",-122.272747,37.8715926,Pacific,California
67,Thousand Oaks,CA,"Thousand Oaks, CA",-118.8375937,34.1705609,Pacific,California Lutheran
68,California,PA,"California, PA",-79.8917139,40.0656291,MidAtlantic,California Pennsylvania
69,Pasadena,CA,"Pasadena, CA",-118.1445155,34.1477849,Pacific,Caltech
70,Grand Rapids,MI,"Grand Rapids, MI",-85.6680863,42.9633599,MidWest,Calvin
71,Buies Creek,NC,"Buies Creek, NC",-78.7355728,35.4132168,South,Campbell
72,Buffalo,NY,"Buffalo, NY",-78.8783689,42.8864468,MidAtlantic,Canisius
73,Northfield,MN,"Northfield, MN",-93.161604,44.4582983,MidWest,Carleton
74,Pittsburgh,PA,"Pittsburgh, PA",-79.9958864,40.4406248,MidAtlantic,Carnegie Mellon
